account_number,account_type,balance,last_transaction_date,last_transaction_id,last_transaction_amount
MT70 DLLK 4085 3AAI YUNV 1U41 XKRR LWG,Brokerage,$99857.96,2019-11-23 06:32:40,1EZ4bq4BCiuqua7zT62RnFGfpBv2cB1fTz,$612.03
FR65 1730 0644 13LU U72Y XRKU A82,Checking,$93300.01,2020-04-21 18:09:22,1Gax7qeWcBDX8LqCTD7NvMzBaZTYm7rbf5,$-1284.36
PL75 4269 5519 9668 3404 1043 2199,Savings,$49928.36,2020-01-25 05:31:06,1FAD4jDC4hPYzQWPYsxgLMqNqxvYBczQBe,$382.76
FR93 1734 8152 43ZA RSAH NOSM R06,Brokerage,$53612.18,2020-04-19 12:52:51,1EKF4LzYrk3o5ve18VtVkcPmntmRM64ku,$265.72
BG26 RLHP 5248 84ZH WDEO 4Y,Brokerage,$5438.15,2019-10-01 09:07:20,1981g5ygPeipmRqUjKNQXy3DaVvTyXA3yF,$17.14
FR07 2513 5235 67A1 2IPI WWQY U29,Savings,$10590.96,2020-04-22 02:52:10,1C7T9NPjtVnAovV3V9XUkfwjFkDFGgCTbB,$-950.31
BG42 OJZO 7273 104K YHUD ZV,Brokerage,$67279.92,2019-11-02 20:20:48,12Bye4G4bcS9RTUQs16D4bseXDc8Grk1qw,$-121.41
FR70 2979 4606 38MH K2TP 3RGU U93,Checking,$90666.59,2020-01-22 21:11:24,146dsW5AcgrGypbBXYMZu9bUcfPmRRu7cZ,$716.43
FR13 7790 8896 45ZQ UXHK XUG1 X84,Checking,$72139.91,2019-10-15 18:19:08,1Mj9Ha6z8n15hXYWhrik7gckZscVJ59shg,$-1363.00
TN74 3230 7610 8360 5716 3746,Checking,$90428.94,2020-06-18 20:05:23,1LNRWxGzzi6nK7493jnXNccAduWsXsY7D,$-360.76
NO78 8883 6663 518,Checking,$96732.85,2019-11-15 20:29:49,1BsiMxAW5tSmWKHVqvAjbhazbrsEeKixkr,$811.17
SE91 7097 9960 6697 6432 9154,Brokerage,$98541.80,2019-07-13 22:09:33,1C3QS7df11WRLQogrJcVo8AHjZYnxbXsD6,$337.60
LI52 0053 686S CTBP 4DUR 6,Brokerage,$51444.72,2019-09-19 00:23:25,1FiA3muniDqUbF2SL1GwastGYajo1YqNVc,$-662.81
IT98 T416 0261 056M NLZF LI45 1AG,Checking,$48253.67,2020-03-16 14:42:30,14CwgYLa49b74twD2PU3B9kvAgKEqxGVpY,$554.27
IL03 9161 7807 2699 9141 942,Checking,$51270.74,2019-11-18 05:38:37,176qoTa57AAm5W9Cz8pTkAnLWQaowft4Ng,$-1117.74
IL72 5683 7508 8893 2908 536,Brokerage,$18286.26,2019-10-13 19:20:49,16QMUpZkRR2fZ1hMCTo7wcsLgzgF6MWzRD,$690.71
HR81 8853 1924 5571 3640 9,Brokerage,$76174.46,2019-12-18 02:57:02,1Bfd7pXvu1Yd47LHLHH8u8ZXN26hJpAr4E,$287.30
BG38 BQOF 1598 04VD GPMP IL,Brokerage,$81653.29,2019-09-22 05:59:32,17a63Jr236RZoCN34Es3Dw688oGgUqVrGs,$-66.86
GR66 2119 737X 9U9K BZI3 SMH4 JTI,Checking,$56857.45,2020-01-10 08:53:10,17sXpjaTgy7KmPYcXXQpmmwmRARk6VSkxN,$-1353.96
IS06 5741 8367 9968 3801 5723 83,Checking,$90653.30,2020-01-24 09:31:42,17aVfZ56UktiF9xzXyMtvECdQ3wyipTqrZ,$897.06
CY59 0336 1426 PUV2 TNJM PNLW PTOA,Savings,$75533.26,2019-07-24 08:13:47,15nSPgMvbotGieMZvZEkj6zegXpKDGnUWZ,$-1240.21
DE69 4157 3209 1390 1406 09,Checking,$39115.16,2019-10-16 13:25:46,19F9USCxwHq7YHNbME7bqip9UF67U4HwEg,$-10.53
ME94 0647 9269 9905 0427 14,Checking,$50351.18,2019-07-21 14:20:59,128bjsSgmz7byr4JFw2vtZfkQywLWKA23b,$-97.47
RO72 QVNW XSXF ELEQ WSYJ VWAS,Checking,$84833.44,2020-03-08 11:20:26,1BMHuMktCKk3miapqKkLukXj6UF7ExyUTe,$-1063.64
FR32 1472 8534 02UL XWUN O9SY H03,Brokerage,$8025.12,2020-05-11 19:33:38,19h4Txj7kfBwW5znVSAcqKiDiwJcKKQQhR,$-1116.28
NO30 9666 5143 375,Checking,$75132.45,2019-12-21 00:05:38,1BqR3TLCqAYv2Uvs4vQtoPmXRCLysAGSnH,$558.12
KW30 OWKC DOVV R2SJ IVCL AA56 VJTG RW,Savings,$57376.98,2019-07-20 00:51:29,18gccnxerGs4u496jan8LnuPMjGrXTwCBT,$92.00
DK76 6890 9853 5167 32,Savings,$39243.95,2019-07-07 16:45:15,1GP14WgCBgBZfS5jVbe48zckYy2B99G8CU,$-719.81
IE13 YKRF 4796 7944 9208 78,Checking,$57793.78,2019-11-17 23:58:41,1M7ZvXdc9tMoZVvEByYj3uWqQHsg4AkQX3,$-1282.05
RO83 WIKZ LEBR T7TA MRSM DS1S,Savings,$24722.63,2020-03-14 09:17:03,1CtHTh9AYBjhpxa76g7vHgne4acT92r3sb,$-1132.59
CR75 4072 9863 6051 2764 9,Savings,$27641.88,2020-02-20 05:02:38,1zNpS1sfQwRegvmBRUfGjyx2hHaTMuh2N,$-413.71
MD04 JBWG SB6Z 2DTJ A5NG GIRP,Checking,$67004.17,2020-02-04 03:12:53,1LLANEnLYzN6dPUMtevQFhyC9PMBsR9D3r,$-509.81
MT44 TKIL 3153 7AL0 6WID NO6P SDGT TZE,Brokerage,$3630.01,2019-08-17 03:36:59,154ZTW1T1Vii7jfnMHYRiEdaKeFjeV58mj,$444.79
RO38 GWVB X9CD V396 WK7M JB0K,Savings,$34265.41,2019-07-15 18:01:42,1DfrJ3QGAS51AZnxwMCJDFsEY1tw9r9XNb,$-1259.34
SA96 42J4 UZLQ A3B7 VE9J OSWZ,Checking,$59872.86,2020-05-27 20:13:05,17vpuEH4wqQXP2hbemPj6zTTYUXYeMHESP,$-827.33
BA90 9771 0658 6988 3794,Checking,$2047.43,2020-03-23 18:19:13,13Dbk2Lx6it2k4qS4mJ6xQVVhBM77oMnf4,$-405.71
LV24 CQDB EGM3 MFCX P8CA X,Checking,$70085.40,2019-08-04 02:44:04,1PKDDJ5t5CEwniosyuXfgFSm3mbUHXjdLC,$-661.31
BE30 5605 4526 8153,Brokerage,$11748.40,2019-08-08 04:11:06,1Fz5zZkDfvC9d47KJHLpknjX7pHCjgPj5D,$394.80
NO39 6682 8029 834,Checking,$25894.27,2020-01-02 14:25:44,1JCWF16x5E9koWUWXhFurxh6y6dfdWox2f,$-1282.41
MK03 3237 TCFG 8W2X A98,Checking,$59746.56,2019-08-29 13:35:03,1GrWjBpmCFEkoASNDvq3uv4XsyrQoZ6oLo,$-574.34
HR37 3188 7230 1237 9253 3,Checking,$27989.56,2020-04-06 05:12:21,1JqmFWEdXmNym4Xkutzsygsy5b6XQLdEzs,$646.98
DK30 5882 0567 7234 87,Checking,$36170.45,2020-02-24 18:55:52,1Bnm1P8fHL5SnhqWxnZA15pab7LuaWRC4C,$250.91
BG41 IWAU 9762 53PX XQRW X7,Checking,$69117.35,2020-05-22 15:43:38,1JP83J3h8z26gKkyPVeait9ieDvybB1YAk,$-602.17
GT54 ULUQ HBRM TCLC WYRP BVRZ Z93F,Checking,$68662.95,2020-03-12 08:06:45,15ewxJjgBWoSAiAY2LjJUvUrTWTEGeaete,$-508.31
ME41 0181 2494 8860 1422 12,Brokerage,$57095.08,2019-11-23 03:59:23,1H4VE3upAr4PhSeoaLWbrzMQbpzeWN9GB9,$-1236.12
FR66 3882 1532 93VA WFSQ QRPL R97,Savings,$62571.75,2020-02-15 16:17:43,1jktUafsyRyjbtXbW7RwpwT5fAcueBCgv,$264.10
CY74 5801 3400 KC3H 84HA ZO5V NJUC,Checking,$25315.15,2019-12-01 16:48:13,1HWrYde11vGwMLVfSuv7UbVwoezQ1n6Vav,$-119.55
MC44 5740 6459 22FL A2RA EVTD T37,Savings,$77781.17,2020-03-31 16:12:14,1CuYf1sFodzHTEfG9jNA3nxydndryUtynr,$-550.77
FR24 1491 2528 31NM L2AE 41KV X41,Checking,$54091.83,2019-09-05 08:55:45,1PhDG7HW5HPMHiC79D99XHcpGGGoEfRdhv,$483.82
LU77 427K RVU7 MOYI QB3Y,Brokerage,$70879.00,2019-12-26 01:43:51,1E7fACb51rpo1tjKWH3fYDfsDsxQ8oSqqe,$616.13
FR51 0128 2992 79LC LSJD OOSD G81,Brokerage,$64759.18,2019-10-08 18:11:44,1EVHph4KrGYTKd967PftC63TQxYWAFwER7,$-140.13
SK04 5966 1153 0832 3308 0796,Savings,$10647.67,2019-10-04 19:24:03,1Nc11t6NdTkRg1qpaZx5Ywq3ipQsUfvQN9,$636.63
FR09 1482 1379 19SJ EB2I KTDK G90,Checking,$55820.06,2019-12-31 07:12:38,1AUM4ZPDezorUqVteuBBbqEWg63fMEf1eQ,$359.93
LU12 915H CGA3 GOCA YUKS,Brokerage,$16330.65,2019-08-14 07:34:38,15bDHjcMfkfCuWYBV6zCLVKNvmhS2YyEC7,$-1415.58
KZ15 910A 8ZFP PEPY KS4I,Checking,$66274.79,2019-06-29 01:54:11,1LRyuJpw3mW2vFr8PUbX5HxYnGwPYpHEnp,$579.98
BH73 CDML OD1X RZFP HVVP CJ,Savings,$43583.76,2019-07-12 23:52:46,141KfuAf8oEqpybL1FicSye8jdXtzgxfFk,$-1387.72
IL04 6510 5966 0241 3843 357,Savings,$50890.13,2020-02-24 00:20:09,1dw3UVtQuDWYRoPSWNsmzr3Jf1Ze7MEz2,$-1308.79
DO45 7CVR 9831 4926 6253 7268 1174,Checking,$22486.45,2020-04-26 08:16:38,1BcSRP9QuA1V16wcuJqxhkKtLyVVsCUndD,$-1038.75
LI56 5489 7X0J WNIV 2BSU P,Checking,$19492.05,2019-12-27 21:25:46,13bw4q96x4vgdL5b2pbvjq7ZK6XXGN37BM,$-935.58
BA11 2630 2327 3052 2153,Brokerage,$76784.73,2019-12-11 03:07:21,13Cd7rYfVVYLUWJMmwgmQLHfsd6s6jkohF,$771.56
PL61 7777 4072 1634 0394 3731 7028,Savings,$71570.19,2020-04-16 09:03:15,15uYhogbiGoyhtcraFQG86HjjZdsHKjxi7,$-96.77
IT76 V875 9895 160B M59H CVM8 9JP,Checking,$24763.55,2020-05-19 09:38:45,1MfcLrY5Sy2HGRCPd6bSgjUdrrgcuYT3pk,$672.01
ME88 1168 9171 7738 5880 61,Brokerage,$47466.81,2019-10-05 18:08:32,1i1npYitgBMaMnQexjazwsjHh29EbAxT8,$808.78
VG72 KFHD 4725 0463 5260 5874,Brokerage,$63214.76,2020-05-04 05:21:21,171UFJbcjHqBFFsM3eSzZukKJajXuy48JN,$-950.47
MT87 NGSZ 0054 3NMN 2ZYE 9QM7 AUIL OBB,Checking,$85325.83,2020-03-24 01:14:11,15WS4Txc6HaxFavmf15HtJdyLCbbHkQC5B,$-1474.13
FR62 0660 5068 65Z5 7GRJ W3GI N67,Checking,$89930.33,2020-05-11 14:08:19,12PFYCWZszCAAKDRapPbV6QhHBosgtoYaW,$-1440.34
FR71 9272 5804 43VX IBNP PRTW L15,Checking,$57889.32,2020-01-17 18:56:06,1Mmuo5uLLXdonmD1GqRC3fLWJC6nZEwca,$-507.97
IS34 4229 4443 3352 5944 4150 24,Checking,$81127.54,2020-02-17 13:24:08,1KtHAtDkednmiVVCs2BEnzW6DzSALfB4y3,$-316.71
SA54 61NQ M6RT UMKZ YZBD 9FSG,Savings,$77264.91,2020-03-01 20:50:25,1NK8UKrgAypxeT8FbR9fZKiQXUtatEUfoZ,$-414.84
NO90 2679 7159 250,Brokerage,$56972.67,2019-12-08 16:39:21,1FTaTe14VqLjmJLmnhQHfgg94tQzBywnmf,$-163.43
AZ47 EZRA DR5Z I3WB DDBF IOSU WUEP,Brokerage,$10900.74,2020-05-13 20:15:07,13PPvMzibEgnqSB466vwPJTmoJmF6DL363,$-1089.94
FR07 7855 6598 88KP EFND UNQR G59,Checking,$1336.40,2020-02-26 13:17:31,14RgiNaYhR6mTUe1HJpTSaLxHxFP4WKdyH,$-1471.13
FR92 1829 8736 29HT FT9I BS09 U78,Checking,$75505.48,2020-06-04 02:34:40,1DxrA3LAkWMqkwVKwiJMtbbzquU9MjqUF4,$-162.44
TN36 5809 3447 4035 8353 6697,Checking,$15095.88,2019-12-04 08:05:20,1PDiDW7ZYkV2RzrMU8s4rA9oMQPubqWFFf,$73.92
DO12 KAP7 7366 5747 2428 7566 2427,Savings,$92783.12,2020-01-06 17:51:02,17Y9jwQGdZKKgEjqYznsoAdiVQ2a3LmfTS,$-492.85
MR56 4278 7993 9957 6557 3893 627,Brokerage,$29515.19,2019-08-01 03:28:36,1AP5kpzkKsCDTp2qyPfVJCnCBk2kyTY7d4,$-540.95
LU69 6824 AUVY JA5B MLVY,Savings,$20966.16,2019-11-28 20:59:14,16qy2275pqkZLAt3ZELZ2bjq93a239AnqX,$803.93
IL78 3686 0297 6269 0244 814,Savings,$63454.22,2019-06-30 11:00:52,14m3fdMRJyBzAxWzGyWNs7Lnh5JZ1kDKy3,$-1241.13
FI21 9851 7286 3326 01,Savings,$36967.34,2019-12-31 17:53:01,1FJYaEnKrgTGDFNwF3PFT9vzoNRkpaq3P8,$602.83
SM09 B913 0914 930D BORL KWCE ORT,Savings,$13551.92,2019-08-28 05:09:32,1NGTu559D5S4YpJHt6zLcJqMrPpaagNhHP,$147.35
ME05 6044 0303 3742 2742 85,Savings,$35597.02,2019-09-16 06:55:44,1Jgvowp2n3Lz4xWbJ5GVbWxkTuDxMP1f9F,$-459.71
AT06 0699 5221 3371 1100,Checking,$48326.25,2019-12-22 06:50:07,12b9aDpJDwQDZmPGfB5meMcSxsqkWgaBWN,$-861.30
PL44 0337 0179 3234 5961 4122 8084,Checking,$52119.76,2020-03-16 18:04:10,1MGWcC2iuD8Yi6tD6WFTENYePxuLdb1LL4,$-469.55
FR15 6502 6299 58UA I6BJ W7JM 387,Checking,$44297.58,2019-08-04 15:26:34,1KXQhaEJqDw9yjmmwRaZ21P32Dk5fzDQ78,$-1076.92
AD21 8628 2004 TGXJ DL0P DTF0,Checking,$24948.49,2020-03-17 20:29:01,1Ek21931JCeAbCtp6cpspqtqZUdbzyRWsk,$-1483.99
TN23 2598 3655 7109 9270 0834,Savings,$75513.45,2019-10-22 02:33:35,18AnsEKQn4iz8L1gyzfaZwwaAzzPA7uuBi,$701.54
PK53 BPAT PBIT LIDH 4VT1 4QHT,Checking,$83985.52,2019-08-23 18:27:12,1AVHMNnUzcN12nUU4PgrF4GVLoBdLWTHL5,$-671.29
TR65 0445 6IWG IQDD VTYZ ZCHF HX,Savings,$20556.07,2020-02-11 04:04:39,14Xv9JCUXG1b9f463ToU4jiLAqWFnxhMoB,$540.56
AT70 8201 8785 7476 1208,Brokerage,$59936.44,2019-07-14 06:35:39,13Ro94FfnpUDJomUakzP67MnWX2qbXAjEi,$-199.74
LU64 080L 7OGA RMN3 JTDL,Checking,$97618.54,2019-10-30 18:56:09,19SY1ByScvPYBp5umqSMBfXUQA5SMHJ1rp,$-1085.28
MD85 BNWF GKUI KYOH QHDR XB1G,Savings,$29192.30,2019-09-16 19:53:24,1EX6sLyDXzAFy6RLFht6824ffXqtVXoUbc,$-269.06
VG15 UXZU 6662 3138 0532 6508,Brokerage,$7896.73,2019-12-07 18:18:05,1JZtup2TA8dBGrfXnZ7sZGg6tT1U9Tj16B,$-56.57
CY05 0867 8742 3Q6I DRML WOWO ZKL4,Checking,$81162.57,2020-06-23 21:47:00,1Kbsqm7B7qUBUufw25qMMhz9GDJNk4CJcz,$-1372.69
MR37 7621 6363 1982 2969 0542 386,Checking,$67087.80,2019-11-25 19:52:11,1CZQEj2MrSWGUAm2NAh2sPihwpiecAysz1,$95.72
FI05 3917 5743 2677 13,Checking,$33377.14,2019-10-18 05:26:04,1NPtzAVYYVpn62m3L1M7ofSASh3dc8XVLB,$-856.97
FR51 0560 5726 29IC AF1T IR5N G64,Brokerage,$67661.79,2019-11-16 22:36:49,1FG43kFZALT9FzMjYARgipun8Z3HEBiX2K,$-1440.85
TN05 5015 1339 2598 4744 9867,Savings,$95414.67,2020-01-09 16:18:04,18qomYYtc59durA24cdGDEr8Bs9u5oXvid,$-175.63
BA39 3834 5168 9276 1893,Brokerage,$35734.11,2020-03-11 00:02:02,1N7qZ2MUN6eGMJjZ6pACwQ2hYpVrdaTYRF,$-626.57
VG85 YWNM 9546 4525 0550 1015,Checking,$39487.68,2019-11-27 06:28:09,1bT4FKR3EPeX8LkqdECtiNgux2NgmrwrT,$152.27
FR75 8384 3168 529R Y0TV TVX7 D18,Brokerage,$60439.39,2019-09-12 04:18:19,1NyEpGjqMuq6unH7S23squxUtNMsF8Agsy,$340.31
DO78 X9WT 2656 4685 4442 1921 7500,Checking,$40186.41,2019-10-23 07:49:26,1KbhvZr9qN9XP2gKvGC2HhV5yAv4fVh5DU,$772.19
LI29 0952 3WTQ Q9ZF WKIZ G,Brokerage,$30604.41,2019-11-27 18:23:16,1Ji8jo4oJ2tpDS7UAegCjBhVb4USiDj6f2,$666.60
KW93 UVUL DYB0 KDT3 D1HR V7SP GZLF JO,Brokerage,$10156.25,2020-04-20 00:13:27,1M6u1Wpzu9XJ62jZBF4N1qFReTouo69dgs,$833.20
MT40 DQAR 8005 0FHY VKQI Y65S APAH LIC,Checking,$62659.38,2020-04-08 19:55:35,1MfdSLpNAMji2MegAjuk4QBCeJvyHzPUAJ,$-1103.37
SI92 9256 1437 7309 563,Checking,$14186.26,2020-05-23 21:12:48,1P4DUPXHXC1kQ7nxcyfpMffkeTBUaour52,$-841.61
PT23 7061 6690 2847 8247 2430 3,Checking,$8745.13,2020-01-24 17:46:00,19qkRPysF9FXN3ybut6z8KeyQ1qDDVZmEz,$-1359.19
FR62 6565 1594 989H NMBZ YA78 I47,Brokerage,$10055.47,2020-04-08 08:02:26,1PKfDsehrcH9tNpu8x4eyQZiYXpZfyX8nM,$-391.61
PS81 ZSUM BNK4 CZJG WZ2L OHLT MYBS V,Brokerage,$59293.74,2019-11-19 22:10:33,1AG2B2sJuLWQauHKSLZL2aNJ58p38H1jtD,$694.94
CY05 7613 1989 QVP6 NDI4 LZ7X UNOJ,Brokerage,$39012.57,2019-08-15 04:45:21,1MdX4JBs36QCCSBZvmfqWESWxKfxkfRzPR,$169.62
BH44 UQDR 0RWE OQOC FZCF FG,Brokerage,$79525.66,2019-07-21 01:10:15,17SpLjCfF31LbX1FdcXhNBTKu5METQLbzF,$311.25
FR24 2581 2424 80GI ZOIE U6BS G90,Checking,$26931.70,2019-11-16 22:49:37,1Lc2bqjL9V1Gw37eLpWXtPhKr2xsNna6Zz,$533.83
IT25 E585 9550 5702 LXDE Z05F 54H,Checking,$87992.11,2020-03-17 01:35:14,18zCkHPU5EC1GxyRH7QD8fGZpimZKrWShL,$732.10
FR88 9993 3330 63UH ASYV R3FI 916,Brokerage,$63474.27,2019-09-15 01:44:28,15KeMDhwR4CXbSyrPX5wW3yqG24NLADcX6,$-1132.91
LV93 PZNF FO0X VQ87 MSIX M,Brokerage,$54629.85,2020-02-20 14:51:47,1Ls4wN6hK8Z2Eg5zUyffFpJmLE2QxJrnwD,$-440.99
PL86 4683 5958 0447 5980 9154 4840,Savings,$40235.89,2020-05-11 11:50:24,12YrftNPF1cBQ25h1Dm9dR3YUo3FgKbfC2,$-581.61
RO86 CLEY GJR8 E6U7 A9K8 APYA,Checking,$47913.44,2019-11-05 02:45:03,18wEXkgtndPQzajSQddzhfzncPnc24ndRR,$-222.29
BR83 2826 0741 8199 3689 7744 431J F,Brokerage,$70576.97,2019-10-09 01:19:42,1Db5AJHePGBvkHKM9Mc2bSUAiV3h78fbZW,$-124.73
LB84 0084 ZDF3 P5UG F5PF CYRJ 9UPB,Savings,$52819.31,2019-07-04 19:03:49,17HDTbUjoGS6EyHpm5r7jXFaz2ZYLKwbUW,$369.43
FR58 1310 6699 714V YOGI M7DM B46,Savings,$31468.27,2019-08-04 15:13:42,1K7i7z7YF4PRmDrqnYDBpEhgnA1cWtLfLi,$-487.62
DK76 4098 7449 9430 03,Brokerage,$28892.50,2020-03-14 13:39:14,1PyJGsUMYrnZ72TcgSvyAPBxsPxUM6TqZA,$-1212.56
DE50 2268 0698 2563 9581 83,Brokerage,$42708.83,2020-05-20 17:13:09,1HuksVKEWFF8wi18HF7PbhF9Qk8AFCZzzd,$-1315.53
LU84 422A VYEK LSQE 5WNT,Savings,$92325.41,2019-12-15 14:30:06,1txKkJ6xposVbTcGqdG2FrkM94RvXZ5M7,$-502.56
LU18 284L POO8 AQQN 8KRO,Checking,$44105.46,2019-07-31 02:34:33,1NPDWcPWtpkfN8jdhRSZbnmxc2jmUuvbVq,$486.42
DO79 3XJD 7164 4333 3544 4998 4519,Brokerage,$89146.59,2019-07-07 07:27:37,194Y5xiobBcWbZWJe7CPry4iZaSYjCBkkC,$789.46
AZ88 KKIB IQN4 XY1O WZCI P9L2 DRYY,Savings,$39982.60,2019-08-31 01:52:46,17ZYFgQCxwTb6ud5fwsM6wRzf63387N7Gw,$428.99
NL38 YKOX 7443 7242 57,Brokerage,$67157.03,2020-01-15 18:56:32,18Vat42z5Mpd6zAaqG3QXwYp31tvDyZcGT,$-931.66
MT89 PHHI 2081 2XV2 UK7G 5BWG C1LU JGV,Checking,$28254.14,2020-02-05 03:58:51,1DijGbc6yDYqrCyPcdYDvbgYLWCszjnZmp,$243.84
FR10 4890 5053 42KN YKZN ZAEF U17,Brokerage,$11831.76,2020-01-17 18:12:03,1EUggVWt4FoWwpJRQbVbyJjVW6PCeNxeTG,$546.34
FR89 5914 5202 41M1 42YO DXBF 306,Checking,$77943.44,2020-05-06 09:24:46,12oPHTWmPXiGZ78p1GGjk85mKa9YNwtjsK,$-1174.02
HR45 1122 3698 9055 8130 1,Checking,$41043.49,2020-01-25 00:59:01,1rbepa5ebtpJLyxrKKjosCVKWCppHfQ82,$-394.58
TN51 2966 2895 8309 9303 1825,Brokerage,$98868.62,2020-04-04 04:43:15,1LTseKudeiSvq4nq3Vb1kqGqT46P9vk2JV,$-1064.17
LT47 5099 2779 4138 7891,Savings,$82414.27,2020-06-04 14:32:44,1JVDbEof5JAwAkG8EyqJWeL2AkLeZ3P3Xx,$242.07
DK96 9132 0938 6727 30,Checking,$44357.09,2020-06-04 06:37:44,12sXE6GK6nD491dhmLM7MZhSGe3LBfix1q,$584.20
LT06 9302 4770 8252 2247,Brokerage,$7773.98,2019-11-08 16:47:13,165NMu1ZMNBqZrnYsXCc3pKMy8u4dbJRmX,$-1061.37
FR35 1833 7706 118X YYKI ZDRA D24,Checking,$50504.08,2020-05-18 04:31:06,1ByPDeW8FcWAaQXFW7kLvbPPBf3f6UWMQw,$320.86
ME67 0288 4802 8288 0050 57,Checking,$89818.63,2020-05-15 02:46:52,14FxrKcCeAcJVYuSnqc7jhEqFCeXCWP21Y,$-1371.55
MC39 6495 9462 181W FPIB D6Z7 J76,Checking,$28579.95,2019-11-04 21:35:46,1BUNQ9QFBJorKBYQSFGsUFeNUUe4vkzScG,$-912.31
FR78 6821 3263 20KK HUKG GHYQ K25,Checking,$64317.56,2020-01-06 03:18:02,13rav6g9CBXd86Esnu97uggTFXervanpJ4,$283.58
FR37 5794 8647 76EQ SBCB K1D7 Q69,Checking,$30276.48,2019-06-28 17:35:28,1NQsX7tZF44LjKfSVVzVp45qVGNd3yoFqP,$-1157.32
BE03 2223 4062 9725,Savings,$38117.05,2020-03-05 11:03:13,1A3DqTUhvYP8aWPYeVeTmEtkWky7nTqMJW,$-1184.12
BG33 MXFR 4319 48TO RBDU T8,Brokerage,$16404.25,2020-03-21 08:50:26,1AHoLioHXsfFMCBwK3m1Anx9SaKomUm8ME,$629.89
EE93 8324 4216 9923 1238,Brokerage,$34686.34,2019-11-09 19:22:08,16NoppYtAqJTxBAAdET6TKK89AVcPqQwD8,$-522.72
GL69 9805 9703 2593 87,Checking,$30512.87,2020-04-15 14:51:41,1KadJUa44ToZcDR2DYcjJqxthc1Kb31RDZ,$871.80
IT62 Q278 4165 738M AQWA BDIP RRZ,Savings,$31743.27,2019-08-05 03:36:54,1GS1ph2nFtQRkC4yr8HsaC9mzQbwbyT1Rh,$-237.91
GB04 IQIV 1128 0971 1497 35,Brokerage,$72569.67,2020-01-07 02:18:14,1N8Xg1ZDjpSue28PobUoQm6x32ET7X4abG,$-821.14
TR50 4799 5PPR 6CXB 7N0O KLZQ RR,Checking,$76336.68,2019-09-28 17:35:46,19oMMtVcgdi1p8wZ2kvfawBf7XDehoJTdp,$-691.17
LU57 031S IMMQ ZMLU TDJS,Checking,$29164.46,2019-09-05 17:14:35,1DBALJ9pHVfvFmXYrZBkPrQTPweq2KskeR,$-942.54
KW52 RYKS CHQM ETSF 9D65 B1K9 8FOU DV,Brokerage,$52045.13,2020-05-16 16:27:01,1HJUZUhZfEXC55VUqBCWf2woCzqYAT5pmn,$390.51
FR38 9417 1626 80EB QETX 26RY X61,Brokerage,$71471.19,2019-11-18 15:54:07,179gUtn8HoBd1TFoijFpMYFLEEmtue4QgJ,$-1498.56
AE05 1128 4589 6623 4526 870,Brokerage,$50619.54,2019-06-29 12:18:25,1JhzneSxhe811dSu9YJj1LMRAcbM9xwykr,$20.39
SE35 2281 0246 7580 6450 6618,Brokerage,$78675.07,2020-05-13 20:33:02,1FRjqe1WQVVTYhV7jmnkb4UdWNKcNhbHEc,$19.53
SA76 58MC 7VHX IODI E7OR QZA7,Checking,$55861.98,2019-09-25 18:22:43,15QfL643SK8NPKYFyHCZBdxMpzzPqAjW6r,$-1223.14
TR66 8203 7TZG OZBA QBAU PWCX JE,Checking,$4409.61,2019-10-07 11:27:32,1K98hXmwfEE8DXkF4JiqKpvsmdkaQieEpz,$-475.73
FR10 1736 9814 12LD RPRX VMFE M39,Savings,$15215.23,2019-09-25 12:49:31,13779CG1oSXSZbG5V3j4kgZV9xVQBVaU8r,$-1019.07
EE93 4472 6529 7833 4246,Checking,$34248.81,2019-09-13 13:37:01,177DY1eskCsjmQkJydfCD7AQi8VuQFdjTF,$-787.28
AL49 1309 7454 2K7A SVNJ UDHR LJZ8,Savings,$8201.73,2019-08-11 13:11:09,1DSHzigtep4xMT6imuarLHGNaF6mT6hGSB,$-1249.41
FR66 6225 5828 55VQ 9EDO 9I9D D75,Savings,$40808.07,2019-06-27 20:19:37,1GEFsqqueogi8Po3E1XokM3bGyZt2YUWoR,$-1056.64
FR17 9762 0429 02PW P3Z4 ZN8T P68,Checking,$69022.28,2019-10-21 16:18:36,1ELbh8TJBdmm4dmbMFgerLEB6EDqbMnH1S,$-882.81
MU03 XAKG 2526 3705 7762 7260 079M MJ,Brokerage,$54557.03,2020-04-08 11:41:27,1J2rfTcGzAbQZyhjKVkbyKGF4VR7iGh8dL,$-1348.19
FR66 5370 6711 66I3 HHWC XK6I D20,Checking,$84496.08,2019-07-18 12:39:16,16DzwY8KvzYk2gbG3PM12n5wCjMN4kMdKx,$342.07
GI18 EVFO B27D ZX0F 8RXI 1H0,Checking,$51213.89,2019-07-19 16:52:18,15364QAep2pJnYFFe1EdwazeNmLTKdJ9UG,$781.74
SM63 A151 0837 3138 UL5U PT4S WHX,Checking,$56991.96,2019-08-29 14:42:16,1J75Shwo4SrEL3J6KNYnZhh5K3f3JSSgB5,$-1444.43
AD86 9427 2433 LAKJ YPME DKIB,Checking,$41823.67,2020-03-11 06:42:48,1E98H9FreM5EDGyXZX29uMz4PFdwykgpVF,$-391.26
LU40 197A IKMA JI1X G1DN,Checking,$93054.15,2019-12-01 08:37:15,1QFTnGLKdWMMb78sYhpDrmC2Hdf3nArKBq,$699.90
